artist_name,track_name
Led Zeppelin,Good Times Bad Times
The Rolling Stones,Start Me Up - Remastered
Led Zeppelin,Whole Lotta Love
Elton John,Rocket Man (I Think It's Going To Be A Long Long Time)
The Rolling Stones,Paint It Black
Cutting Crew,(I Just) Died in Your Arms
Led Zeppelin,Ramble On
Foreigner,Juke Box Hero
Guns N' Roses,Sweet Child O' Mine
Bachman-Turner Overdrive,You Ain't Seen Nothing Yet
Lynyrd Skynyrd,Free Bird
The Beach Boys,Good Vibrations
Jimi Hendrix,All Along the Watchtower
Van Halen,Panama - 2015 Remastered Version
Men At Work,Down Under
Creedence Clearwater Revival,Fortunate Son
Eagles,Hotel California - Remastered
Creedence Clearwater Revival,Bad Moon Rising
Steve Miller Band,Rock'n Me
Blue Swede,Hooked on a Feeling
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me)
The Human League,Don't You Want Me - 2002 - Remaster
The Police,Every Breath You Take - Remastered 2003
Daryl Hall & John Oates,Rich Girl
AC/DC,Highway to Hell
"Earth, Wind & Fire",September
Culture Club,Karma Chameleon - 2002 - Remaster
Phil Collins,In The Air Tonight - 2015 Remastered
The Clash,Should I Stay or Should I Go - Remastered
Dexys Midnight Runners,Come On Eileen
Buffalo Springfield,For What It's Worth
Boston,More Than a Feeling
Haddaway,What Is Love
The Animals,House Of The Rising Sun
Queen,Bohemian Rhapsody - Remastered 2011
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002
R.E.M.,Losing My Religion
The Doobie Brothers,Listen To The Music
Mötley Crüe,Kickstart My Heart
Neil Diamond,Sweet Caroline
Billy Joel,We Didn't Start the Fire
Kenny Loggins,Danger Zone
Elton John,Tiny Dancer
Toto,Hold the Line
Elton John,Crocodile Rock
Stealers Wheel,Stuck In The Middle With You
Starship,We Built This City
The Marshall Tucker Band,Can't You See
Lynyrd Skynyrd,Simple Man
Bryan Adams,Summer Of '69
Queen,Another One Bites The Dust - Remastered 2011
Aerosmith,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon"""
The Doobie Brothers,Long Train Runnin'
Led Zeppelin,Kashmir
Norman Greenbaum,Spirit In The Sky
The Doors,Light My Fire
Tom Petty and the Heartbreakers,American Girl
Pink Floyd,"Another Brick in the Wall, Pt. 2"
Pink Floyd,Wish You Were Here
Rick Springfield,Jessie's Girl
Queen,Under Pressure - Remastered 2011
The Rolling Stones,Gimme Shelter
Beastie Boys,Sabotage
Wild Cherry,Play That Funky Music
AC/DC,You Shook Me All Night Long
Electric Light Orchestra,Mr. Blue Sky
38 Special,Hold On Loosely
The Beatles,Hey Jude - Remastered 2015
Eddie Money,Take Me Home Tonight
The Beatles,Come Together - Remastered
Creedence Clearwater Revival,Down On The Corner
Rick Astley,Never Gonna Give You Up
Styx,Come Sail Away
Electric Light Orchestra,Don't Bring Me Down
Frankie Valli & The Four Seasons,"December, 1963 (Oh What A Night!)"
Johnny Cash,Hurt
Toto,Africa
Creedence Clearwater Revival,Have You Ever Seen The Rain?
Bee Gees,Stayin' Alive
Steppenwolf,Born To Be Wild
The J. Geils Band,Centerfold
a-ha,Take On Me
John Denver,"Take Me Home, Country Roads"
Dire Straits,Sultans Of Swing
Eurythmics,Sweet Dreams (Are Made of This) - Remastered
The Outfield,Your Love
Pink Floyd,Comfortably Numb
Simple Minds,Don't You (Forget About Me)
Asia,Heat Of The Moment
Billy Squier,Lonely Is The Night - 2010 - Remaster
Twisted Sister,I Wanna Rock
The Police,Roxanne - Remastered 2003
Black Sabbath,Paranoid - Remastered Version
Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered
Led Zeppelin,Black Dog
Queen,We Will Rock You - Remastered
Steve Miller Band,The Joker
Metallica,Enter Sandman
Bon Jovi,It's My Life
Guns N' Roses,Knockin' On Heaven's Door
The Allman Brothers Band,Ramblin' Man
Queen,Killer Queen - Remastered 2011
Queen,Somebody To Love - Remastered 2011
Guns N' Roses,Welcome To The Jungle
Bon Jovi,You Give Love A Bad Name
ZZ Top,La Grange - 2005 Remastered Version
Queen,Don't Stop Me Now - Remastered
Stevie Wonder,Superstition - Single Version
Sigala,Easy Love
Black Sabbath,Iron Man - Remastered Version
Warrant,Cherry Pie
The Who,Won't Get Fooled Again - Remix
Led Zeppelin,Immigrant Song
The Police,Message In A Bottle - Remastered 2003
Bad Company,Feel Like Makin' Love - 2015 Remastered Version
KISS,Rock And Roll All Nite
Deep Purple,Smoke On the Water
The Allman Brothers Band,Midnight Rider
Ram Jam,Black Betty
Van Halen,Runnin' With The Devil - 2015 Remastered Version
Mötley Crüe,Dr. Feelgood
The Cranberries,Zombie
Rush,Limelight
Styx,Renegade
Cream,Sunshine Of Your Love
Black Sabbath,War Pigs/Luke's Wall - Remastered Version
ILoveMakonnen,Tuesday (feat. Drake)
Drake,Right Hand
Young Money,Trophies
Lil Wayne,Believe Me
Drake,Jungle
Drake,Fancy
Drake,Under Ground Kings
Drake,Signs
Drake,Sacrifices
Drake,No Tellin'
Cher,Believe
Drake,Forever
French Montana,Pop That
George Ezra,Barcelona
Future,Where Ya At
Drake,I'm The Plug
Drake,I'm Goin In
Drake,6 Man
Drake,Over
Drake,Find Your Love
Drake,Gyalchester
Drake,Used To
Drake,Headlines
Drake,Summer Sixteen
Drake,Worst Behavior
Drake,Free Smoke
Drake,Blem
Drake,Energy
Drake,Marvins Room
Nicki Minaj,No Frauds
Drake,9
2 Chainz,No Lie
Drake,The Language
The Game,100 (feat. Drake)
Drake,Up All Night
Drake,Scholarships
Drake,Grammys
Drake,From Time
Drake,Crew Love
Drake,Legend
Drake,Feel No Ways
Future,Used to This
Drake,Know Yourself
Drake,All Me
Drake,Do Not Disturb
Drake,Ice Melts
Drake,Teenage Fever
Drake,6 God
Drake,Passionfruit
Drake,Hype
Kent Jones,Don't Mind
Big Sean,Paradise
Logic,Fade Away
2 Chainz,4 AM
Kanye West,Only One
A$AP Ferg,New Level
XXXTENTACION,Look At Me!
Young Thug,Best Friend
Marian Hill,Down
Kendrick Lamar,Money Trees
Yo Gotti,Rake It Up
Tee Grizzley,First Day Out
Chance The Rapper,All We Got (feat. Kanye West & Chicago Children's Choir)
Kodak Black,Roll In Peace (feat. XXXTENTACION)
Silentó,Watch Me (Whip / Nae Nae)
Big Sean,Blessings
Big Sean,All Your Fault
Big Sean,Paradise - Extended
Future,Trap Niggas
Kodak Black,Transportin'
DeJ Loaf,Back Up
Eminem,Berzerk
J. Cole,She Knows
O.T. Genasis,CoCo
Big Sean,One Man Can Change The World
J. Cole,Love Yourz
Rodney Atkins,Take A Back Road
Luke Bryan,I Don't Want This Night to End
Jake Owen,Beachin'
Chris Young,Who I Am With You
Florida Georgia Line,Round Here
Lee Brice,Hard To Love
Luke Bryan,That's My Kind Of Night
Tim McGraw,Southern Girl
Luke Bryan,Drunk On You
Tim McGraw,Meanwhile Back At Mama's
Chase Rice,Ready Set Roll
Luke Bryan,I See You
Keith Urban,Somewhere In My Car
Blake Shelton,Sangria
Hunter Hayes,I Want Crazy - Encore
Florida Georgia Line,"God, Your Mama, And Me"
Thomas Rhett,It Goes Like This
Keith Urban,Cop Car
Jake Owen,Barefoot Blue Jean Night
Joe Nichols,Yeah
Brett Eldredge,Beat Of The Music
Luke Bryan,Crash My Party
Florida Georgia Line,Get Your Shine On
David Nail,Whatever She's Got
Jason Aldean,Dirt Road Anthem
Lee Brice,Drinking class
Maren Morris,80s Mercedes
Rascal Flatts,Bless The Broken Road
Tyler Farr,A Guy Walks into a Bar
Billy Currington,Don't It
Kelsea Ballerini,Love Me Like You Mean It
Little Big Town,Day Drinking
Cole Swindell,Chillin' It
Little Big Town,Boondocks
Lee Brice,Parking Lot Party
Florida Georgia Line,Dirt
Frankie Ballard,Sunshine & Whiskey
Florida Georgia Line,Sippin’ On Fire
Tim McGraw,Highway Don't Care
Brantley Gilbert,Bottoms Up
Tyler Farr,Whiskey in My Water
Sam Hunt,Raised On It
Brad Paisley,Crushin' It
Dustin Lynch,Where It's At
Blake Shelton,Boys 'Round Here (feat. Pistol Annies & Friends)
Chris Young,Lonely Eyes
Luke Bryan,Roller Coaster
Thomas Rhett,Make Me Wanna
Carrie Underwood,Blown Away
Luke Bryan,Play It Again
RaeLynn,Love Triangle
Eric Church,Give Me Back My Hometown
Luke Bryan,Drink A Beer
Cam,Burning House
Hunter Hayes,Wanted
Tim McGraw,Shotgun Rider
Florida Georgia Line,Stay
Randy Houser,How Country Feels
Jake Owen,Real Life
Brett Eldredge,Don't Ya
Thomas Rhett,Get Me Some Of That
Joe Nichols,Tequila Makes Her Clothes Fall Off
Billy Currington,We Are Tonight
Dustin Lynch,Hell Of A Night
Josh Turner,Your Man
Blake Shelton,Neon Light
Toby Keith,Made In America
Billy Currington,People Are Crazy
Rodney Atkins,Watching You
Kip Moore,Somethin' 'Bout A Truck
Frankie Ballard,Helluva Life
Toby Keith,I Love This Bar
Kenny Chesney,Pirate Flag
Kip Moore,Beer Money
Cole Swindell,Hope You Get Lonely Tonight
Chris Young,Aw Naw
Miranda Lambert,Somethin' Bad - (Duet with Carrie Underwood)
Darius Rucker,Homegrown Honey
Darius Rucker,Alright
Dierks Bentley,5-1-5-0
Randy Houser,Goodnight Kiss
Easton Corbin,All Over The Road
Toby Keith,As Good As I Once Was
Jason Aldean,Tattoos on This Town
Zac Brown Band,Free
Jason Aldean,Fly Over States
Dierks Bentley,What Was I Thinkin'
Florida Georgia Line,Cruise
Jerrod Niemann,Drink to That All Night
Chris Young,You
Jason Aldean,My Kinda Party
Love and Theft,Angel Eyes
Randy Houser,Runnin' Outta Moonlight
Scotty McCreery,See You Tonight
Jake Owen,Anywhere With You
The Bangles,Walk Like an Egyptian
JAY Z,No Church In The Wild
Young Thug,Check
Kodak Black,Too Many Years
Lil Wayne,A Milli
O.T. Genasis,Cut It (feat. Young Dolph)
Lil Wayne,Rich As Fuck
The Game,How We Do
ScHoolboy Q,Man Of The Year
Chief Keef,I Don't Like (Remix)
OutKast,The Way You Move - Club Mix
Kendrick Lamar,A.D.H.D
Wiz Khalifa,King Of Everything
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2)
Juicy J,Bandz A Make Her Dance
Jim Croce,"Bad, Bad Leroy Brown"
DMX,Where The Hood At
ScHoolboy Q,Studio
Lil Jon & The East Side Boyz,Get Low - Street
DMX,X Gon' Give It To Ya
Tyga,Rack City
Bobby Shmurda,Hot N*gga
Kodak Black,Skrt
Vince Staples,Norf Norf
Kanye West,Pt. 2
Kanye West,Monster
Future,Xanny Family
A$AP Rocky,Goldie
A$AP Rocky,Electric Body
Kendrick Lamar,m.A.A.d city
Kendrick Lamar,Backseat Freestyle
Chief Keef,Hate Bein' Sober
2Pac,Ambitionz Az A Ridah
Future,Thought It Was a Drought
The Notorious B.I.G.,Big Poppa
Kanye West,POWER
Chief Keef,Love Sosa
Akon,I Wanna Love You
OutKast,Ms. Jackson
50 Cent,In Da Club
Travis Scott,Butterfly Effect
JAY Z,Who Gon Stop Me
Kodak Black,No Flockin
A$AP Ferg,Work REMIX
Migos,Fight Night
Kanye West,Ultralight Beam
50 Cent,Candy Shop
Dan + Shay,19 You + Me
LMFAO,Party Rock Anthem
Aloe Blacc,The Man
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida) - feat. Nicki Minaj & Flo Rida
DJ Khaled,All I Do Is Win
Parmalee,Carolina
Creedence Clearwater Revival,Born On The Bayou
Eli Young Band,Even If It Breaks Your Heart
Meghan Trainor,Lips Are Movin
5 Seconds of Summer,She Looks So Perfect
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)"
Elle King,Ex's & Oh's
Katy Perry,The One That Got Away
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz)
Avicii,Wake Me Up - Radio Edit
One Direction,Story of My Life
Swedish House Mafia,Don't You Worry Child (Radio Edit) [feat. John Martin]
Flo Rida,Wild Ones (feat. Sia)
Demi Lovato,Cool for the Summer
Demi Lovato,Heart Attack
Bastille,Pompeii
Andy Grammer,"Honey, I'm Good."
MKTO,Classic
Capital Cities,Safe And Sound
Zedd,I Want You To Know
Phillip Phillips,"Gone, Gone, Gone"
Avicii,Hey Brother
Luke Bryan,Kiss Tomorrow Goodbye
Alesso,Heroes (we could be)
Carly Rae Jepsen,Call Me Maybe
Iggy Azalea,Fancy
Jack Ü,Where Are Ü Now (with Justin Bieber)
Meghan Trainor,All About That Bass
Neon Trees,Everybody Talks
Taylor Swift,Shake It Off
Eli Young Band,Crazy Girl
Phillip Phillips,Home
Cher Lloyd,Want U Back
"Earth, Wind & Fire",Let's Groove
Coldplay,A Sky Full of Stars
John Legend,Love Me Now
Sam Smith,Like I Can
alt-J,Breezeblocks
Sam Smith,Lay Me Down
John Legend,All of Me
Vance Joy,Riptide
Sam Smith,I'm Not The Only One
Kygo,Nothing Left
Ed Sheeran,The A Team
Lady Gaga,Million Reasons
Kygo,Firestone
Bon Iver,Skinny Love
Ed Sheeran,I See Fire
Trey Songz,Slow Motion
One Direction,Drag Me Down
Milky Chance,Stolen Dance
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Nick Jonas,Close
Julia Michaels,Issues
Red Hot Chili Peppers,Can't Stop
Leona Lewis,Bleeding Love
Ed Sheeran,Photograph
Frank Ocean,Ivy
Coldplay,Adventure Of A Lifetime
One Direction,History
Baby Bash,Suga Suga
Rihanna,FourFiveSeconds
Miguel,Adorn
Miguel,Sure Thing
John Legend,Ordinary People
Jon Bellion,All Time Low
Lukas Graham,7 Years
Coldplay,Fix You
Rihanna,Stay - Album Version (Edited)
Coldplay,Hymn For The Weekend
Hozier,Someone New
Zac Brown Band,Colder Weather
The Lumineers,Ophelia
Brad Paisley,This Is Country Music
Zac Brown Band,Whatever It Is
The Black Crowes,Hard To Handle
Thompson Square,Are You Gonna Kiss Me Or Not
Dustin Lynch,Cowboys and Angels
Kip Moore,Hey Pretty Girl
J. Cole,She's Mine Pt. 1
Blake Shelton,Honey Bee
Joe Nichols,Sunny and 75
Gary Allan,Every Storm (Runs Out Of Rain)
Tim McGraw,"I Like It, I Love It"
Keith Urban,Raise 'Em Up
Jason Aldean,She's Country
Luke Bryan,Rain Is a Good Thing
Blake Shelton,Sure Be Cool If You Did
Eric Paslay,Song About A Girl
Blake Shelton,God Gave Me You
A$AP Mob,Telephone Calls
Mac Miller,Weekend (feat. Miguel)
Eminem,'Till I Collapse
Rihanna,Umbrella
Childish Gambino,IV. sweatpants
Denzel Curry,Ultimate
Chance The Rapper,Same Drugs
Bell Biv DeVoe,Poison
David Guetta,Memories (feat. Kid Cudi) - feat. Kid Cudi
Machine Gun Kelly,Bad Things (with Camila Cabello)
A$AP Rocky,L$D
Chance The Rapper,Blessings
ScHoolboy Q,Hands On The Wheel
JAY Z,Numb / Encore
J. Cole,A Tale of 2 Citiez
A$AP Rocky,Wild for the Night
J. Cole,Immortal
Kanye West,Heard 'Em Say
G-Eazy,Some Kind Of Drug
Halsey,New Americana
Kodaline,All I Want
"Tyler, The Creator",Yonkers
Weezer,Buddy Holly
Green Day,When I Come Around
Taylor Swift,Look What You Made Me Do
Post Malone,I Fall Apart
Rihanna,SOS
Beyoncé,Best Thing I Never Had
Kendrick Lamar,Alright
Green Day,Wake Me Up When September Ends
blink-182,What's My Age Again?
MGMT,Kids
mansionz,STFU
Fugees,Killing Me Softly with His Song
Grouplove,Colours
Arctic Monkeys,Do I Wanna Know?
Foster The People,Pumped Up Kicks
MisterWives,Reflections
Cage The Elephant,Cigarette Daydreams
Macklemore & Ryan Lewis,"White Walls (feat. ScHoolboy Q, Hollis)"
Miley Cyrus,7 Things
Lorde,Green Light
Ed Sheeran,Happier
Ed Sheeran,Castle on the Hill
Oasis,Champagne Supernova - Remastered
Green Day,Good Riddance (Time of Your Life)
Green Day,Basket Case
XXXTENTACION,Jocelyn Flores
Bleachers,I Wanna Get Better
Grouplove,Tongue Tied
The 1975,Somebody Else
Green Day,21 Guns
Halsey,Colors
Rihanna,Take A Bow - Main
blink-182,All The Small Things
Alice In Chains,Rooster
Jonas Blue,Fast Car
Maroon 5,Sunday Morning
Dua Lipa,New Rules
blink-182,I Miss You
Afroman,Crazy Rap (Colt 45 & 2 Zig Zags)
Beck,Loser
Lorde,Tennis Court
Miley Cyrus,Malibu
Twenty One Pilots,Tear In My Heart
Drake,4422
Green Day,American Idiot
blink-182,Adam's Song
Mac Miller,Knock Knock
Beyoncé,7/11
Halsey,Now Or Never
The Weeknd,Wicked Games
The Smashing Pumpkins,1979
The Offspring,Self Esteem
Calum Scott,Dancing On My Own
Beyoncé,Run the World (Girls)
blackbear,Idfc
Miley Cyrus,Do My Thang
Green Day,Holiday/Boulevard Of Broken Dreams
Avril Lavigne,What the Hell
OneRepublic,Feel Again
fun.,Carry On
Mumford & Sons,I Will Wait
Clean Bandit,Rather Be (feat. Jess Glynne)
Imagine Dragons,It's Time
Mumford & Sons,The Cave
P!nk,So What
fun.,Some Nights
American Authors,Best Day Of My Life
Maroon 5,One More Night
Kelly Clarkson,Stronger (What Doesn't Kill You)
Twenty One Pilots,The Run And Go
The Lumineers,Stubborn Love
Yellowcard,Ocean Avenue
Of Monsters and Men,Little Talks
Maroon 5,Payphone
Grouplove,Ways To Go
George Ezra,Budapest
WALK THE MOON,Anna Sun
The Lumineers,Dead Sea
Train,Drops of Jupiter
P!nk,Just Give Me a Reason
Gavin DeGraw,Not Over You
Imagine Dragons,Demons
fun.,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae
King Harvest,Dancing In The Moonlight
OneRepublic,I Lived
AWOLNATION,Sail
The Lumineers,Ho Hey
Kelly Clarkson,Breakaway
Tom Petty,I Won't Back Down
Beyoncé,Love On Top
Charlie Puth,Marvin Gaye (feat. Wale) - Remix
Train,Meet Virginia
The Lumineers,Flowers In Your Hair
Lou Bega,Mambo No. 5 (A Little Bit of...)
Mumford & Sons,Little Lion Man
One Direction,What Makes You Beautiful
Flume,Sleepless
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore
Kane Brown,What Ifs
John Mayer,Free Fallin' - Live at the Nokia Theatre
Rascal Flatts,Yours If You Want It
Darius Rucker,If I Told You
Tim McGraw,Where The Green Grass Grows
Rascal Flatts,Rewind
Lee Brice,Love Like Crazy
Rascal Flatts,My Wish
Kenny Chesney,I Go Back
Phoenix,1901
My Chemical Romance,Teenagers
Passion Pit,Sleepyhead
AC/DC,Back In Black
NexXthursday,Sway (feat. Quavo & Lil Yachty)
Weezer,Say It Ain't So
YFN Lucci,Everyday We Lit (feat. PnB Rock)
Tove Lo,Habits (Stay High) - Hippie Sabotage Remix
Rihanna,We Found Love
Modest Mouse,Float On
Calvin Harris,My Way
Curren$y,Bottom of the Bottle (feat. August Alsina & Lil Wayne)
Demi Lovato,Sorry Not Sorry
LMFAO,Shots
Charlie Puth,Attention
Chris Brown,New Flame
Selena Gomez,Bad Liar
A R I Z O N A,Oceans Away
Coolio,Gangsta's Paradise
Kelly Clarkson,Behind These Hazel Eyes
Don McLean,American Pie
Empire of the Sun,Walking On A Dream
Billy Joel,Uptown Girl
Kings of Leon,Sex on Fire
Tinashe,2 On
BØRNS,Electric Love
Blur,Song 2 - 2012 Remastered Version
Hailee Steinfeld,Starving
Jimmy Eat World,The Middle
Sheppard,Geronimo
Jet,Are You Gonna Be My Girl
Matt and Kim,Daylight
Heart,Barracuda
MGMT,Electric Feel
Travis Scott,beibs in the trap
Playboi Carti,Magnolia
The Killers,Mr. Brightside
Gucci Mane,I Get The Bag (feat. Migos)
MadeinTYO,Skateboard P (feat. Big Sean)
Galantis,Runaway (U & I)
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder)
Kendrick Lamar,LOVE. FEAT. ZACARI.
Young Thug,Relationship (feat. Future)
PnB Rock,Selfish
Rae Sremmurd,Perplexing Pegasus
Kodak Black,There He Go
Kid Cudi,Just What I Am
A$AP Mob,RAF
XXXTENTACION,Fuck Love (feat. Trippie Redd)
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
Bruno Mars,24K Magic
Beyoncé,Partition
Big Sean,Jump Out The Window
Migos,Get Right Witcha
Post Malone,Too Young
Justin Bieber,Friends (with BloodPop®)
Migos,Brown Paper Bag
Pearl Jam,Black
6LACK,Ex Calling
T-Pain,I'm N Luv (Wit a Stripper)
Lil Pump,Gucci Gang
Frank Ocean,Thinkin Bout You
21 Savage,Bank Account
NAV,Myself
Lil Uzi Vert,Sauce It Up
22 Savage,The Race
Lil Pump,Flex Like Ouu
SZA,Love Galore
Travis Scott,wonderful
DJ Khaled,Don't Quit
Supertramp,The Logical Song - Remastered 2010
Ludacris,My Chick Bad
Sean Paul,Get Busy
Far East Movement,Like A G6
Trey Songz,Say Aah - feat. Fabolous
Ciara,"One, Two Step"
Tim Legend,Hope
Busta Rhymes,Don't Cha
Beyoncé,Countdown
Justin Timberlake,Suit & Tie
Nelly Furtado,Promiscuous
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop)
Beyoncé,Irreplaceable
The Notorious B.I.G.,Mo Money Mo Problems (feat. Mase & Puff Daddy) - 2014 Remastered Version
Jeremih,Birthday Sex
The Black Eyed Peas,Pump It
Ne-Yo,So Sick
Ciara,Goodies
The Black Eyed Peas,Just Can’t Get Enough
Fergie,London Bridge
Kanye West,Mercy
50 Cent,Disco Inferno
Chris Brown,Strip
Cali Swag District,Teach Me How to Dougie
Huey,"Pop, Lock & Drop It - Video Edit"
M83,Midnight City
Missy Elliott,Work It
Usher,My Boo
Vanessa Carlton,A Thousand Miles
Rihanna,Only Girl (In The World)
OneRepublic,Secrets
Sean Paul,Temperature
MC Hammer,U Can't Touch This
Gwen Stefani,Rich Girl
JAY Z,Empire State Of Mind
Childish Gambino,Heartbeat
Gwen Stefani,Hollaback Girl
Jason Derulo,Ridin' Solo
Alicia Keys,If I Ain't Got You
Ne-Yo,Miss Independent
Jay Sean,Down
Lil Mama,Lip Gloss
Mariah Carey,We Belong Together
Rihanna,Diamonds
Panic! At The Disco,LA Devotee
Sean Kingston,Beautiful Girls
Iyaz,Replay
Destiny's Child,"Jumpin', Jumpin'"
Keri Hilson,Knock You Down
B.o.B,Nothin' On You (feat. Bruno Mars)
Gnarls Barkley,Crazy
Bruno Mars,Treasure
Alicia Keys,Fallin'
J. Cole,Fire Squad
G-Eazy,Calm Down
The Notorious B.I.G.,Juicy
G-Eazy,Order More
N.W.A.,Fuck Tha Police
Michael Jackson,Rock with You - Single Version
Childish Gambino,I. the worst guys
J. Cole,Apparently
Meek Mill,Litty (feat. Tory Lanez)
Wiz Khalifa,Pull Up (feat. Lil Uzi Vert)
Big Sean,Dance (A$$)
Coldplay,Hymn For The Weekend - Seeb Remix
The Game,Ali Bomaye
T.I.,No Mediocre
Carly Rae Jepsen,I Really Like You
Hailee Steinfeld,Love Myself
Shawn Mendes,There's Nothing Holdin' Me Back
Fetty Wap,My Way (feat. Monty)
Ying Yang Twins,Salt Shaker
Katy Perry,Chained To The Rhythm
Mike WiLL Made-It,23
Meghan Trainor,Me Too
Rae Sremmurd,Come Get Her
Nicki Minaj,Feeling Myself
T-Pain,Booty Wurk (One Cheek At a Time)
Rihanna,Birthday Cake
Cheat Codes,Sex
Petey Pablo,Freek-A-Leek
50 Cent,Just A Lil Bit
Flo Rida,Right Round - feat. Ke$ha
JAY Z,99 Problems
Justin Bieber,One Time
Akon,Beautiful
Katy Perry,Last Friday Night (T.G.I.F.)
*NSYNC,Tearin' up My Heart - Radio Edit
*NSYNC,It's Gonna Be Me
T.I.,Dead And Gone (feat. Justin Timberlake)
T-Wayne,Nasty Freestyle
Jason Derulo,It Girl
Fergie,Glamorous
Blake Shelton,Mine Would Be You
Taio Cruz,Dynamite
Coldplay,Viva La Vida
Wiz Khalifa,We Dem Boyz
Jason Derulo,In My Head
*NSYNC,Bye Bye Bye
T.I.,Whatever You Like
Tyga,Molly
Mac Miller,Loud
Kesha,TiK ToK
Ariana Grande,Be Alright
Avril Lavigne,Here's to Never Growing Up
Soulja Boy,Crank That (Soulja Boy)
Avril Lavigne,Sk8er Boi
Lil Wayne,No Worries
Lil Wayne,Mirror
Jason Derulo,Whatcha Say
Lady Gaga,Just Dance
Usher,OMG
Rihanna,S&M
Lil Wayne,Blunt Blowin
Nelly,Just A Dream - Main
David Guetta,Without You (feat. Usher) - feat. Usher
Kid Ink,Body Language
Rihanna,Don't Stop The Music
Rihanna,Talk That Talk
OneRepublic,Good Life
Travie McCoy,Billionaire (feat. Bruno Mars)
Missy Elliott,Get Ur Freak On
DMX,Party Up
Fall Out Boy,Thnks fr th Mmrs
Chris Brown,Run It!
Rihanna,Rude Boy
Neon Trees,Animal
Jonas Brothers,Burnin' Up
Lupe Fiasco,The Show Goes On
Rihanna,You Da One
Kanye West,Love Lockdown
Jesse McCartney,Leavin'
The Pussycat Dolls,Buttons
Keri Hilson,Pretty Girl Rock
Wiz Khalifa,Roll Up
Timbaland,Give It To Me
Jamie Foxx,Blame It
Timbaland,Carry Out (Featuring Justin Timberlake)
Hot Chelle Rae,Tonight Tonight
Secondhand Serenade,Fall For You
Diddy - Dirty Money,Coming Home
Metro Station,Shake It
Katy Perry,California Gurls - feat. Snoop Dogg
Shop Boyz,Party Like A Rock Star
Natasha Bedingfield,Pocketful of Sunshine
Gwen Stefani,The Sweet Escape
3OH!3,DONTTRUSTME - Explicit Album Version
Hinder,Lips Of An Angel
Panic! At The Disco,Nine In The Afternoon - Radio Mix
Usher,Caught Up
3 Doors Down,Kryptonite
Ja Rule,Always On Time
The Fray,Never Say Never
Colbie Caillat,Bubbly
Chingy,Right Thurr
OneRepublic,Stop And Stare
The All-American Rejects,Move Along
Christina Aguilera,Genie in a Bottle
Timbaland,The Way I Are
JoJo,"Too Little, Too Late - Radio Version"
Beyoncé,Single Ladies (Put a Ring on It)
Jesse McCartney,Beautiful Soul
Alicia Keys,No One
The All-American Rejects,Dirty Little Secret
Justin Timberlake,Not a Bad Thing
Usher,You Make Me Wanna...
The Black Eyed Peas,My Humps
Ja Rule,Mesmerize
Nelly Furtado,I'm Like A Bird
The Fray,You Found Me
Jordin Sparks,No Air
Eve,Let Me Blow Ya Mind
Katy Perry,Hot N Cold
Cascada,Everytime We Touch - Radio Edit
The Calling,Wherever You Will Go
Kings of Leon,Use Somebody
The Fray,Over My Head (Cable Car)
Lifehouse,You And Me
Timbaland,Apologize
Miley Cyrus,The Climb
Kelly Clarkson,Since U Been Gone
Katy Perry,I Kissed a Girl
Smash Mouth,All Star
3 Doors Down,Here Without You
Weezer,Beverly Hills
Fall Out Boy,"Sugar, We're Goin Down"
We The Kings,Check Yes Juliet
Fergie,Big Girls Don't Cry (Personal)
Hoobastank,The Reason
Vampire Weekend,Oxford Comma
Alex Clare,Too Close
Cold War Kids,First
Of Monsters and Men,Mountain Sound
Saint Motel,My Type
Fitz and The Tantrums,Out Of My League
Peter Bjorn and John,Young Folks
Hozier,Work Song
Young the Giant,My Body
Cage The Elephant,Shake Me Down
Of Monsters and Men,Crystals
Vance Joy,Mess Is Mine
The Temper Trap,Sweet Disposition
Of Monsters and Men,King And Lionheart
The 1975,Chocolate
The Lumineers,Sleep On The Floor
Of Monsters and Men,Dirty Paws
The xx,Intro
Houndmouth,Sedona
Two Door Cinema Club,What You Know
Phoenix,Lisztomania
alt-J,Left Hand Free
Weezer,Island In The Sun
Glass Animals,Gooey
Cage The Elephant,Come a Little Closer
Edward Sharpe & The Magnetic Zeros,Home
X Ambassadors,Renegades
The Shins,New Slang
Vance Joy,Georgia
Florence + The Machine,Dog Days Are Over
Staind,It's Been Awhile - Explicit LP Version
Red Hot Chili Peppers,Otherside
Trapt,Headstrong
